backend,sequence,samples,median_ms,min_ms,max_ms,tflops
fa3,4096,6,1.3943981170654296,1.3179609680175781,1.5033905029296875,394.26029564998595
fa3,8192,6,5.302511901855469,5.2478369140625,5.387033081054687,414.7134973487776
fa3,16384,6,20.7054443359375,20.44233642578125,20.9091552734375,424.8202974780416
v1,4096,3,2.58128936768,2.58051757812,2.58498596191,212.97721238518372
v1,8192,3,9.28579589844,9.25581298828,9.30924865723,236.81580767044778
v1,16384,3,35.3456933594,35.3124731445,35.3770800781,248.85897506007547
v2,4096,3,1.66002334595,1.6333770752,1.66307617188,331.1735435704882
v2,8192,3,6.13873779297,6.10557373047,6.15002502441,358.22074988612354
v2,16384,3,23.7090405273,23.5249243164,23.7252880859,371.00164437610437
v4,4096,3,1.46422546387,1.46265335083,1.48040100098,375.4584436982647
v4,8192,3,5.45627929687,5.4329876709,5.47535095215,403.02615315412316
v4,16384,3,21.1821435547,20.9237280273,21.2085913086,415.2598153956085
v3,4096,3,1.39671051025,1.39186309814,1.40790298462,393.60755851232057
v3,8192,3,5.29708068848,5.28245300293,5.31597290039,415.13871222207314
v3,16384,3,20.7938671875,20.7590039063,20.8100439453,423.01381185581835
tilelang,4096,3,1.6510588073730468,1.6484440612792968,1.7252786254882813,332.97167334863195
tilelang,8192,3,6.2545556640625,6.211298828125,6.3070001220703125,351.58744660107095
tilelang,16384,3,24.203779296875,23.9559765625,24.26598388671875,363.4181635156325
triton,4096,3,1.754219970703125,1.6855709838867188,1.8057185363769532,313.3904658876089
triton,8192,3,6.674417724609375,6.633601684570312,6.684990234375,329.47042667766186
triton,16384,3,25.9038623046875,25.75680419921875,25.965078125,339.56685372807436
triton_ws,4096,3,1.921661376953125,1.8823226928710937,1.94765869140625,286.08360478143186
triton_ws,8192,3,6.965403442382812,6.856834716796875,6.9945703125,315.70651631913665
triton_ws,16384,3,26.626416015625,26.4671484375,26.63458251953125,330.3521216316251
